ReadDateTime,merchantId,PV,FV,Total
2023-12-31,540044,6839,4486,11325
2024-01-31,540044,6810,4450,11260
2024-02-29,540044,7028,4707,11735
2024-03-31,540044,7240,5425,12665
2024-04-30,540044,6979,4595,11574
2024-05-31,540044,7482,5417,12899
2023-05-31,520014,37,12,49
2023-06-30,520014,18112,2651,20763
2023-07-31,520014,12255,2331,14586
2023-08-31,520014,12959,2723,15682
2023-09-30,520014,12420,2389,14809
2023-10-31,520014,15686,3365,19051
2023-11-30,520014,19687,3365,23052
2023-12-31,520014,21293,5910,27203
2024-01-31,520014,16319,4609,20928
2024-02-29,520014,19369,4629,23998
2024-03-31,520014,22078,4536,26614
2024-04-30,520014,20636,3902,24538
2024-05-31,520014,19623,4807,24430
2023-05-31,520035,0,1,1
2023-06-30,520035,49604,9538,59142
2023-07-31,520035,39337,9658,48995
2023-08-31,520035,39254,9434,48688
2023-09-30,520035,37842,8490,46332
2023-10-31,520035,51755,11532,63287
2023-11-30,520035,46922,10781,57703
2023-12-31,520035,48678,12401,61079
2024-01-31,520035,42233,11508,53741
2024-02-29,520035,48447,12326,60773
2024-03-31,520035,44906,13445,58351
2024-04-30,520035,53011,12185,65196
2024-05-31,520035,44078,11536,55614
2023-05-31,536012,2,3,5
2023-06-30,536012,27296,73101,100397
2023-07-31,536012,27931,74573,102504
2023-08-31,536012,30170,74964,105134
2023-09-30,536012,27633,63505,91138
2023-10-31,536012,30048,66210,96258
2023-11-30,536012,32460,64864,97324
2023-12-31,536012,34890,83788,118678
2024-01-31,536012,32857,81447,114304
2024-02-29,536012,34270,81296,115566
2024-03-31,536012,35893,83422,119315
2024-04-30,536012,31521,78316,109837
2024-05-31,536012,36184,83533,119717
2023-05-31,392008,1,4,5
2023-06-30,392008,139489,192073,331562
2023-07-31,392008,104239,199415,303654
2023-08-31,392008,98827,199015,297842
2023-09-30,392008,86756,184392,271148
2023-10-31,392008,114302,204828,319130
2023-11-30,392008,129696,203242,332938
2023-12-31,392008,139392,215831,355223
2024-01-31,392008,104890,200666,305556
2024-02-29,392008,115290,212465,327755
2024-03-31,392008,136159,232241,368400
2024-04-30,392008,134804,214156,348960
2024-05-31,392008,110730,232536,343266
2023-05-31,380025,6,3,9
2023-06-30,380025,51957,40890,92847
2023-07-31,380025,48143,41810,89953
2023-08-31,380025,47204,32992,80196
2023-09-30,380025,38979,25109,64088
2023-10-31,380025,44258,29671,73929
2023-11-30,380025,58510,39338,97848
2023-12-31,380025,62867,47148,110015
2024-01-31,380025,47162,36697,83859
2024-02-29,380025,51968,39988,91956
2024-03-31,380025,46955,41724,88679
2024-04-30,380025,52416,47290,99706
2024-05-31,380025,44003,41508,85511
2023-05-31,380023,1,0,1
2023-06-30,380023,33669,11382,45051
2023-07-31,380023,28743,11612,40355
2023-08-31,380023,27943,10976,38919
2023-09-30,380023,28809,9483,38292
2023-10-31,380023,31738,11909,43647
2023-11-30,380023,37732,13458,51190
2023-12-31,380023,39127,17471,56598
2024-01-31,380023,30974,15838,46812
2024-02-29,380023,36473,16350,52823
2024-03-31,380023,37956,13226,51182
2024-04-30,380023,37364,13152,50516
2024-05-31,380023,29146,11287,40433
2023-05-31,380017,28,11,39
2023-06-30,380017,87382,110509,197891
2023-07-31,380017,76247,124288,200535
2023-08-31,380017,70010,123428,193438
2023-09-30,380017,58867,112734,171601
2023-10-31,380017,64224,122317,186541
2023-11-30,380017,65644,84347,149991
2023-12-31,380017,77771,91489,169260
2024-01-31,380017,63533,74947,138480
2024-02-29,380017,65345,74550,139895
2024-03-31,380017,69431,83203,152634
2024-04-30,380017,62425,73130,135555
2024-05-31,380017,73143,72507,145650
2023-05-31,380022,25,41,66
2023-06-30,380022,43993,96238,140231
2023-07-31,380022,42693,82628,125321
2023-08-31,380022,42750,71655,114405
2023-09-30,380022,33211,63766,96977
2023-10-31,380022,38209,77135,115344
2023-11-30,380022,40834,82114,122948
2023-12-31,380022,40882,96272,137154
2024-01-31,380022,30820,91292,122112
2024-02-29,380022,32136,99209,131345
2024-03-31,380022,39182,119489,158671
2024-04-30,380022,38996,117834,156830
2024-05-31,380022,40771,119680,160451
2023-05-31,380016,1,0,1
2023-06-30,380016,147940,128927,276867
2023-07-31,380016,125756,126472,252228
2023-08-31,380016,126954,126472,253426
2023-09-30,380016,110481,119514,229995
2023-10-31,380016,121634,146543,268177
2023-11-30,380016,149844,140269,290113
2023-12-31,380016,159733,156283,316016
2024-01-31,380016,121380,124613,245993
2024-02-29,380016,140854,137442,278296
2024-03-31,380016,152249,144850,297099
2024-04-30,380016,149913,140917,290830
2024-05-31,380016,132043,150601,282644
2023-05-31,380019,4,0,4
2023-06-30,380019,49931,9927,59858
2023-07-31,380019,44949,7693,52642
2023-08-31,380019,43317,7550,50867
2023-09-30,380019,30239,6834,37073
2023-10-31,380019,34312,7368,41680
2023-11-30,380019,44509,7636,52145
2023-12-31,380019,43830,7840,51670
2024-01-31,380019,30496,8096,38592
2024-02-29,380019,35490,7675,43165
2024-03-31,380019,39675,8117,47792
2024-04-30,380019,39928,8468,48396
2024-05-31,380019,32223,9595,41818
2023-05-31,570012,1,1,2
2023-06-30,570012,22941,22669,45610
2023-07-31,570012,19844,23368,43212
2023-08-31,570012,19697,23211,42908
2023-09-30,570012,22184,22021,44205
2023-10-31,570012,23261,25915,49176
2023-11-30,570012,24454,21997,46451
2023-12-31,570012,22582,26129,48711
2024-01-31,570012,21637,22116,43753
2024-02-29,570012,28878,24221,53099
2024-03-31,570012,26112,26050,52162
2024-04-30,570012,25084,22893,47977
2024-05-31,570012,22899,22590,45489
2023-05-31,560017,2,5,7
2023-06-30,560017,63596,170242,233838
2023-07-31,560017,65223,172848,238071
2023-08-31,560017,66725,171204,237929
2023-09-30,560017,63094,154911,218005
2023-10-31,560017,68150,181648,249798
2023-11-30,560017,65306,162073,227379
2023-12-31,560017,64047,166546,230593
2024-01-31,560017,67019,165213,232232
2024-02-29,560017,69025,193036,262061
2024-03-31,560017,66158,203561,269719
2024-04-30,560017,62661,179737,242398
2024-05-31,560017,65881,184353,250234
2023-05-31,570011,2,7,9
2023-06-30,570011,35552,36599,72151
2023-07-31,570011,34898,37825,72723
2023-08-31,570011,34699,40363,75062
2023-09-30,570011,32122,38966,71088
2023-10-31,570011,31847,43875,75722
2023-11-30,570011,36250,35982,72232
2023-12-31,570011,36543,42565,79108
2024-01-31,570011,35543,39228,74771
2024-02-29,570011,40278,42789,83067
2024-03-31,570011,37782,44866,82648
2024-04-30,570011,33711,39216,72927
2024-05-31,570011,34761,39222,73983
2023-05-31,560022,27,34,61
2023-06-30,560022,1235526,252317,1487843
2023-07-31,560022,1266377,221239,1487616
2023-08-31,560022,1307356,249597,1556953
2023-09-30,560022,1186460,212372,1398832
2023-10-31,560022,1262757,204309,1467066
2023-11-30,560022,1254439,238098,1492537
2023-12-31,560022,1360860,223612,1584472
