City,MSE,R²,Dew_Point_Coeff,Humidity_Coeff,Intercept
Amravati,3.322989189882974,0.8818112904564968,1.0542730530605346,-0.3360644127931887,29.059730899625492
Junagadh,3.9864464059763645,0.8480477690118212,1.0650737483690256,-0.32348214412643184,28.38045431395085
Dindigul,1.169868762884367,0.9409530368571808,0.8841998730894921,-0.2798877943714281,28.577567140673775
Beawar,5.604009980488586,0.8843343449933937,1.0161810063681942,-0.33640518700357713,29.488564296940943
Jamshedpur,3.3588309673404058,0.9159263414348251,1.0328533303268623,-0.31365533378094657,28.250007444658966
Araria,0.8746412844369624,0.9782397962844143,1.003644264271505,-0.25748205094367815,24.541259752221702
Dhamnod,3.874827458799338,0.8863271778641368,1.0725915706118325,-0.321426778179794,27.968820765921034
Bidar,2.743317572794263,0.8715556028969613,0.9636993200039846,-0.3099383632785292,28.7337241004618
Coimbatore,1.6512626739906917,0.8883118562547598,0.7824208256287818,-0.2560635677602628,28.880948720166348
Pune,3.379842721696069,0.8424241338662055,0.9396549682275458,-0.30585699855572035,29.168621292007376
Rajauli,3.9434952298503503,0.9234818576630582,0.9862637446791888,-0.322469698631688,29.659512642469615
Aurangabad,3.0113963469460097,0.9457916997729559,0.9849775196348175,-0.3034706264700224,28.455184514109266
Bareilly,1.9869697211492487,0.967871161063482,0.9901794199625656,-0.2840575239279274,26.857754047906866
Raipur,2.7036738329946495,0.9228281734086519,1.0592530558108058,-0.3144444198196993,27.68707101639622
Chhindwara,2.7793808459431935,0.9153860094700981,1.0321062105959395,-0.31166074605948296,27.94345793835346
Hazaribagh,3.2065183832944126,0.9192449137055153,1.0443602800973746,-0.30595558249377663,27.510848061204594
Anand,5.10584808113753,0.8502764394399625,1.045878862817028,-0.3461450691219725,29.8329501849338
Pushkar,5.090898694986426,0.8891143362321785,1.0301896649867168,-0.3335105562095729,29.027808162277495
Anantpur,3.795134848771721,0.8103327954229601,0.8575344348410441,-0.31130474874703395,30.855511431756252
Palsud,3.4421530595638243,0.8741895924476853,1.060233065154191,-0.32540580595967683,28.264385305652294
Jalandhar,0.9168784016103103,0.9869876231668421,0.9910876909110156,-0.2591783797946677,24.855417657207916
Bhander,4.059302574149013,0.9330955231875059,0.9577072965908906,-0.3113739735544887,29.306958332142898
Gwalior,3.696334141402288,0.9365469317781591,0.9676931568205113,-0.309992711451705,28.913318866370627
Rapur,1.6197298211191844,0.9318562937742978,0.7953028773499811,-0.2791315533031285,30.6433495271445
Hyderabad,2.081143589125603,0.9008818510948198,0.9350401841606455,-0.2915256962293431,28.16194571157477
Erode,1.8030750939408613,0.9095549078237126,0.7905866816653017,-0.27909759786204597,30.598110083255676
Raisen,3.138031160971793,0.9203556012714228,1.0363827037870659,-0.3097717824912433,27.757372154970476
Delhi,3.0191138387320287,0.9547513849088867,0.973554558967818,-0.29984958403721784,28.135428270454014
Banda,3.2158786236713075,0.9270915821971892,1.0264538788560313,-0.30716801267394106,27.78929339357007
Abohar,3.422586551014038,0.9566271318348172,0.9510717560943286,-0.3067308822847386,28.716941324557183
Panvel,2.9367840590477168,0.8591595170227924,0.998258716462266,-0.29935835983637793,28.01214201328186
Ghazipur,2.0905652842238087,0.9618487889028123,0.9765091574756343,-0.2899318574184096,27.595510639283617
Para,4.2637607548078265,0.9095041144050029,1.0043734625778586,-0.3169634575079441,29.08870700896926
Hejamadi,0.3130228773773196,0.9587774061170282,0.9164076840693218,-0.23713590905052517,24.99276613068563
Chennai,0.19706316908093818,0.9804244929232803,1.007972949410281,-0.24580188597440394,23.435437818855405
Panchkula,2.010095465500974,0.9655836391389848,1.0284702873822404,-0.2992491717749008,26.859570753701956
