Index,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),2023,2024
111,,,,,,,1.173333406,1.077272773
112,Ahmedabad,"22.935230, 72.519760",22.93523,72.51976,712,44.42,7.274166584,8.408182144
113,Cachar,"24.946609,92.756356",24.946609,92.756356,726,45.41,1,1
114,Pali,"25.293327,73.085753",25.293327,73.085753,822,52.19,1.625833273,1.356363654
115,Baleni,"28.959724,77.443155",28.959724,77.443155,963,62.16,9.643333435,6.096363544
116,Lakhisarai,"25.202348,86.081872",25.202348,86.081872,934,60.11,3.679166555,3.788181782
117,Balibhasa,"22.34462627,87.12665241",22.34462627,87.12665241,944,60.81,4.053333282,4.053636551
118,Bhatinda,"30.227490, 74.763624",30.22749,74.763624,1013,65.69,12.48166656,9.530909538
119,,,,,,,7.664166451,14.15818214
120,"Surendranag
ar","22.4097,71.0155",22.4097,71.0155,647,39.82,3.123333216,3.25818181
121,Mahoba,"25.357245, 79.427843",25.357245,79.427843,848,54.03,2.5625,2.881818295
122,Bhiwani,"28.804800, 76.223200",28.8048,76.2232,813,51.55,2.781666756,2.114545345
123,,,,,,,2.725833416,8.081818581
124,Banda,"25.5275,80.4036",25.5275,80.4036,655,40.39,2.94749999,4.079091072
125,Rayachoti,"14.131169,78.756820",14.131169,78.75682,625,38.27,1.13166666,1
126,Bandlapalli,"13.336395, 78.612892",13.336395,78.612892,726,45.41,3.436666727,2.829090834
127,,,,,,,5.382500172,3.884545565
128,"Bangalore
Rural","13.090678,77.399788",13.090678,77.399788,649,39.96,57.96333313,56.96090698
129,,,,,,,10.35833359,8.311818123
130,Udhampur,"32.838928,74.940536",32.838928,74.940536,757,47.6,4.120833397,4.090000153
131,Bengaluru,"12.850056,77.588333",12.850056,77.588333,713,44.49,37.76416779,29.44818115
132,Damoh,"23.805957, 79.370837",23.805957,79.370837,846,53.89,2.273333311,3.357272863
133,Durgapur,"23.4916993,87.3768623",23.4916993,87.3768623,722,45.12,45.08750153,50.54909134
134,Ajmer,"27.271443,74.345791",27.271443,74.345791,851,54.24,1.853333235,1.845454574
135,Dehradun,"28.932477,79.929189",28.932477,79.929189,648,39.89,2.917500019,3.156363726
136,Haidergarh,"26.6294023,81.3329506",26.6294023,81.3329506,672,41.59,5.469166756,4.460000038
137,Raiganj,"25.670914, 88.080268",25.670914,88.080268,713,44.49,17.4058342,10.68999958
138,"Kanpur
Dehat","26.3854208,80.018945",26.3854208,80.018945,569,34.31,27.77249908,25.19000053
139,Gwalior,"26.320813,78.272572",26.320813,78.272572,841,53.53,4.421666622,4.972727299
140,Agra,"26.932005,77.933357",26.932005,77.933357,472,27.46,5.380000114,5.78363657
141,Jaipur,"26.68816,75.904726",26.68816,75.904726,813,51.55,6.1875,7.599091053
142,Indore,"22.816212,75.848384",22.816212,75.848384,670,41.45,6.292500019,10.05090904
143,Hathras,"27.335508,78.031048",27.335508,78.031048,788,49.79,3.701666594,3.891818285
144,Goru,"28.047877, 72.349573",28.047877,72.349573,788,49.79,1.146666646,1
145,Purnia,"25.804725,87.590748",25.804725,87.590748,714,44.56,2.994166613,3.376363754
146,Karimnagar,"18.7042, 79.417",18.7042,79.417,763,48.02,5.645833492,4.71454525
147,Mydukur,"14.7082937,78.8723146",14.7082937,78.8723146,616,37.63,1.49666667,1.50363636
148,Kannauj,"27.073778, 79.843390",27.073778,79.84339,863,55.09,15.45416641,12.75272751
149,Bass,"29.127304,76.209427",29.127304,76.209427,847,53.96,3.402499914,3.031818151
150,Chittaurgarh,"25.033192,74.816392",25.033192,74.816392,638,39.19,4.472499847,4.918181896
151,Nashik,"20.141754,73.9764485",20.141754,73.9764485,810,51.34,4.875,4.863636494
152,Bathalapalli,"14.50018,77.79659",14.50018,77.79659,805,50.99,1.482499957,1.413636327
153,"Beechagond
anahalli","13.263241, 77.944733",13.263241,77.944733,706,43.99,4.166666508,4.100909233
154,Suket,"24.642639, 76.027472",24.642639,76.027472,587,35.58,16.30666733,16.92000008
155,Behram,"31.2044330,75.8767990",31.204433,75.876799,749,47.03,10.03333282,8.013636589
156,Sagar,"25.076435,79.327525",25.076435,79.327525,546,32.69,1,1
157,"Rampur
Baghelan","24.493444, 81.143406",24.493444,81.143406,761,47.88,4.087500095,2.637272596
158,Hattikeri,"14.7104272,74.2935113",14.7104272,74.2935113,1074,70,4.074999809,2.374545574
159,Gorakhpur,"27.11918695074507,
82.89602275148907",27.11918695,82.89602275,788,49.79,3.095833302,3.301818132
160,Dhanbad,"23.763627,86.79803",23.763627,86.79803,598,36.36,17.06666756,14.03999996
161,Mandya,"12.9628049,76.7704144",12.9628049,76.7704144,583,35.3,5.626666546,4.371818066
162,Narora,"28.1884316,78.3480532",28.1884316,78.3480532,734,45.97,1.202499986,1.216363668
163,Ghazipur,"25.6376960, 83.8398360",25.637696,83.839836,652,40.18,32.56999969,18.22545433
164,Bhadarabad,"29.911694,78.020722",29.911694,78.020722,823,52.26,11.74166679,18.80090904
165,Bhavnagar,"21.985168, 72.091870",21.985168,72.09187,790,49.93,20.40416718,13.6245451
166,Bikaner,"28.594353,73.810058",28.594353,73.810058,689,42.79,1.652500033,1.785454512
167,Jogbani,"26.343119,87.236811",26.343119,87.236811,715,44.63,6.410833359,6.336363792
168,"Sawai
Madhopur","26.224711, 76.370728",26.224711,76.370728,464,26.89,1.519166708,1.524545431
169,Bhadrak,"20.944516, 86.327633",20.944516,86.327633,906,58.13,8.470833778,13.10454559
170,Bhagalpur,"25.2322,87.0094",25.2322,87.0094,611,37.28,9.578332901,8.793636322
171,Sonipat,"29.071744,77.0601904",29.071744,77.0601904,764,48.09,37.17333221,36.54545593
172,SAS NAGAR,"30.760763,76.607911",30.760763,76.607911,786,49.65,14.12583351,14.25090885
173,Jammu,"29.910500, 76.507130",29.9105,76.50713,810,51.34,3.212500095,3.364545345
174,Valsad,"20.43495,72.917204",20.43495,72.917204,655,40.39,8.155833244,8.093636513
175,Bhagwanpur,"29.931253,77.820383",29.931253,77.820383,707,44.06,33.26749802,30.41636276
176,"Banaskanth
a","23.912345,71.783983",23.912345,71.783983,602,36.64,3.143333435,4.146363735
177,Bhalkhi,"28.208603, 76.203269",28.208603,76.203269,527,31.34,2.370833397,3.398181915
178,Yavatmal,"20.2348930,78.0174340",20.234893,78.017434,602,36.64,4.495833397,2.769999981
179,Dausa,"26.916680, 76.432023",26.91668,76.432023,806,51.06,16.79500008,13.51090908
180,Varanasi,"26.635829,82.126764",26.635829,82.126764,889,56.93,4.846666813,6.578181744
181,Rajkot,"21.805381,70.663976",21.805381,70.663976,584,35.37,4.345000267,3.793636322
182,Nashik,"19.752854, 73.775314",19.752854,73.775314,652,40.18,12.67000008,30.82454681
183,Ahmedabad,"23.115640, 72.642100",23.11564,72.6421,791,50,16.38666725,17.08636284
184,Surat,"21.090354,72.922502",21.090354,72.922502,771,48.59,26.82416725,22.28999901
185,Dahod,"22.79296,73.842845",22.79296,73.842845,752,47.24,8.215833664,6.983636379
186,Sirsa,"29.5326385,75.2009966",29.5326385,75.2009966,729,45.62,3.590833426,2.813636303
187,Sultanpur,"26.2269380, 82.6707030",26.226938,82.670703,580,35.09,8.939167023,11.90454578
188,Nizamabad,"18.20539,78.398299",18.20539,78.398299,827,52.54,3.201666832,4.991818428
189,"Banaskanth
a","24.143877,71.977151",24.143877,71.977151,545,32.61,2.435833216,5.557272434
190,Bhind,"26.657489,78.869295",26.657489,78.869295,747,46.89,1.248333335,1.115454555
191,Gorakhpur,"26.59920,83.40222",26.5992,83.40222,806,51.06,3.706666708,9.74636364
192,Alwar,"28.174303, 76.824531",28.174303,76.824531,690,42.86,10.22166634,11.34000015
193,Thane,"19.281255, 73.048291",19.281255,73.048291,668,41.31,26.1875,27.4290905
194,Ghaziabad,"28.800192,77.619238",28.800192,77.619238,629,38.55,7.852499962,7.539999962
195,Saragaon,"21.9322781,82.0123636",21.9322781,82.0123636,607,37,4.896666527,3.698181868
196,Barmer,"25.640861, 72.000211",25.640861,72.000211,875,55.94,2.023333311,1.806363583
197,"Sukhisewani
a","23.371140, 77.502870",23.37114,77.50287,577,34.88,2.081666708,1.789090872
198,Bhordu,"24.494001,72.268802",24.494001,72.268802,692,43,1.271666646,1
199,Dewas,"22.9751708,76.2184202",22.9751708,76.2184202,704,43.85,4.96333313,9.224545479
200,"Bhramanapa
lli","14.7359233,79.0492478",14.7359233,79.0492478,839,53.39,8.018333435,7.979090691
201,Meerut,"29.125868,77.576617",29.125868,77.576617,839,53.39,3.450000048,10.88727283
202,Jaora,"23.5968864,75.1640542",23.5968864,75.1640542,744,46.68,1.764999986,2.045454502
203,Deogarh,"21.505816,85.058237",21.505816,85.058237,555,33.32,9.330833435,9.233635902
204,Silwani,"23.131733,78.506008",23.131733,78.506008,612,37.35,3.605833292,3.119999886
205,Bijapur,"16.786741,75.739648",16.786741,75.739648,661,40.81,10.97416687,9.129091263
206,Bilakbarpur,"28.520428,77.600397",28.520428,77.600397,688,42.72,22.05666733,30.13636398
207,Ujjain,"24.020435,75.290547",24.020435,75.290547,795,50.28,1.722499967,1.666363597
208,Gwalior,"26.055268,78.252663",26.055268,78.252663,697,43.36,5.159166813,5.027272701
209,Bilara,"26.121857, 74.062484",26.121857,74.062484,714,44.56,13.83333302,11.34181786
210,Pali,"25.371114,73.201486",25.371114,73.201486,659,40.67,7.377500057,5.324545383
211,Jaitaran,"26.121857, 74.062484",26.121857,74.062484,781,49.29,13.83333302,11.34181786
212,Jhajjar,"28.468107,75.889119",28.468107,75.889119,598,36.36,2.666666746,2.415454388
213,Banda,"25.4138,80.5719",25.4138,80.5719,585,35.44,1.099166632,1
214,Motihari,"26.9970148,84.375504",26.9970148,84.375504,731,45.76,1.829166651,1.522727251
215,Anand,"22.4133460,72.8518924",22.413346,72.8518924,662,40.88,9.122499466,11.56727219
216,"Ramnathpur
am","9.3981517,78.7140107",9.3981517,78.7140107,714,44.56,2.928333282,2.632727385
217,Bolangir,"20.740615,83.630556",20.740615,83.630556,674,41.73,1.516666651,2.109999895
218,Prakasam,"15.886754,80.070843",15.886754,80.070843,614,37.49,11.10000038,8.896363258
219,Hyderabad,"17.141561, 78.350437",17.141561,78.350437,744,46.68,1.793333292,1.924545407
220,Sawai Madhopur,"26.333262172107283,
76.24529151966289",26.33326217,76.24529152,770,48.52,7.853333473,18.50545502
221,Pudukkottai,"10.64127,78.581277",10.64127,78.581277,737,46.18,11.4491663,9.768181801
222,Barmer,"25.1018238,71.5596583",25.1018238,71.5596583,702,43.71,1.619166613,1.521818161
223,Gardarwada,"23.03015,78.514381",23.03015,78.514381,644,39.61,1,1
224,Miraj,"17.000291, 74.783872",17.000291,74.783872,732,45.83,15.09416676,8.350909233
225,Navsari,"20.885548,73.052162",20.885548,73.052162,792,50.07,4.877500057,5.698182106
226,Wardha,"20.85612,78.963632",20.85612,78.963632,753,47.31,5.55583334,5.237272739
227,"Dakshina
Kannada","12.8751,75.0039",12.8751,75.0039,796,50.35,2.353333235,2.622727156
228,,,,,,,26.73999977,31.51181793
229,Chhapra,"25.7478818,84.9518215",25.7478818,84.9518215,692,43,3.149166584,3.139091015
